DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20180801,BUFF.BREAKFAST(A),15,5.47,FARHANA,115184,1000,63635,71734,1
20180801,BUFF.BREAKFAST(A),15,10.94,FARHANA,115189,1000,80048,84625,2
20180801,BUFF.BREAKFAST(A),15,5.47,FARHANA,115190,1000,84433,93002,1
20180801,F.BREWED COFFEE,1,11.89,FARHANA,115195,1000,120021,120115,2
20180801,BUFF.LUNCH(A),15,18.49,FARHANA,115197,1000,132107,132227,2
20180801,CHAR KWAY TEOW,90,4.81,SI,115198,1000,132238,142711,1
20180801,BUFF.LUNCH(A),90,27.73,SI,115198,1000,132238,142711,1
20180801,CALAMARI RINGS,85,13.21,FARHANA,115199,1001,133051,140041,1
20180801,MEE MAMAK,85,16.98,FARHANA,115199,1001,133051,140041,1
20180801,NASI LEMAK,35,6.42,SI,115203,1000,165110,171334,1
20180801,MONTH CAKE 1KG,38,9.43,SI,115209,1000,190807,190848,1
20180801,MONTH CAKE 1KG,4,9.43,SI,115213,1000,193311,193351,1
20180801,WALNUT&FRUIT,3,6.6,SI,115220,1000,201808,203355,1
20180801,CHAR KWAY TEOW,35,6.42,SI,115225,1000,222013,104,3
20180801,SATAY,35,6.98,SI,115225,1000,222013,104,3
20180801,CAESER SALAD,35,5.66,SI,115225,1000,222013,104,3
20180801,FISH & CHIPS,35,9.06,SI,115225,1000,222013,104,3
20180801,MONTH CAKE SLC,3,11.32,SI,115227,1000,225805,230127,1
20180802,BUFF.BREAKFAST(A),15,5.47,FARHANA,115235,1000,91914,92027,1
20180802,PATTY MELT,67,16.51,RAMANI,115245,1000,142003,144323,1
20180802,MONTH CAKE 1KG,68,28.3,FARHANA,115250,1000,171913,172007,0
20180802,MONTH CAKE SLC,3,5.66,FARHANA,115251,1000,172917,184255,0
20180802,TV SET 4,85,27.83,FARHANA,115256,1001,182113,184651,1
20180802,MONTH CAKE SLC,3,11.32,FARHANA,115259,1000,193710,193754,0
20180802,MONTH CAKE SLC,3,11.32,FARHANA,115260,1000,194354,194449,0
20180802,MONTH CAKE 1KG,43,18.87,FARHANA,115264,1000,211341,211414,0
20180802,CAESER SALAD,4,2.83,FARHANA,115272,1000,225537,232204,1
20180803,CALAMARI RINGS,4,2.45,FARHANA,115278,1000,75820,75832,1
20180803,CAESER SALAD,4,2.83,FARHANA,115279,1000,75917,75935,1
20180803,BUFF.BREAKFAST(A),85,27.36,FARHANA,115282,1000,102915,103630,1
20180803,HEALTHY SET D,85,27.83,SITI,115288,1001,135929,143638,1
20180803,FRENCH FRIES,67,5.66,SITI,115292,1000,142426,142444,1
20180803,MEE MAMAK,67,16.04,SITI,115293,1000,142707,142818,1
20180803,LAKSA JOHOR,85,16.98,SITI,115372,1001,175850,182506,1
20180803,CAESER SALAD,4,2.83,SITI,115375,1000,185328,191121,1
20180803,MONTH CAKE SLC,3,22.64,SITI,115377,1000,195017,195051,0
20180804,CAESER SALAD,85,15.09,MOHAMAD RASHID,115390,1001,42015,42032,1
20180804,FRESH APPLE,4,1.98,FARHANA,115405,1000,81445,81454,1
20180804,CAESER SALAD,4,2.83,FARHANA,115405,1000,81445,81454,1
20180804,FRESH WATERMELON,4,1.98,FARHANA,115406,1000,81631,81641,1
20180804,FRESH WATERMELON,4,1.98,FARHANA,115407,1000,81750,81801,1
20180804,BUFF.HI-TEA(A),17,12.07,SITI,115429,1000,161242,161441,1
20180804,TV SET 3,85,27.83,SITI,115434,1001,183128,185718,1
20180804,TV SET 3,85,27.83,SITI,115437,1001,192428,201649,1
20180804,MONTH CAKE 1KG,68,14.15,SITI,115438,1000,192740,192826,0
20180804,PRAWN COCKTAIL,85,18.87,SITI,115439,1001,194619,194738,1
20180804,POTATO WEDGES,85,4.72,SITI,115439,1001,194619,194738,1
20180805,HEALTHY SET A,85,27.83,FARHANA,115454,1001,134515,141936,1
20180805,BROWNIES,85,10.85,SITI,115472,1001,185113,191119,1
20180806,BUFF.BREAKFAST(A),15,5.47,ZIN,115479,1000,85509,85736,1
20180806,BUFF.BREAKFAST(A),15,5.47,ZIN,115480,1000,85518,85756,1
20180806,MONTH CAKE 1KG,18,18.87,ZIN,115482,1000,92539,92639,1
20180806,OPEN FD-SANDWICH,33,24.0,ZIN,115486,1000,105453,111456,1
20180806,OPEN PTY-CAKE,33,14.0,ZIN,115486,1000,105453,111456,1
20180806,PUMPKIN SOUP,85,11.79,SITI,115490,1000,153501,161403,1
20180806,MEXICANA,85,18.87,SITI,115490,1000,153501,161403,1
20180806,SATAY,85,18.39,SITI,115493,1001,181609,184232,1
20180806,FRUIT PLATE,85,10.85,SITI,115493,1001,181609,184232,1
20180806,MONTH CAKE SLC,3,5.66,SITI,115498,1000,201245,201250,0
20180806,MONTH CAKE 1KG,43,18.87,SITI,115511,1000,215609,215649,0
20180807,CAESER SALAD,4,2.83,ZIN,115518,1000,71246,71258,1
20180807,MONTH CAKE 1KG,33,18.87,ZIN,115522,1000,111116,111200,1
20180807,TV SET 3,85,27.83,ZIN,115523,1001,121153,124109,1
20180807,N NUMB TONGUE,85,19.81,FARHANA,115529,1001,154942,162440,1
20180807,TV SET 3,85,27.83,FARHANA,115533,1001,180716,183115,1
20180807,N NUMB TONGUE,85,19.81,FARHANA,115537,1001,200546,204938,1
20180807,N NUMB TONGUE,85,19.81,RAMAKUMAR,115542,1001,202018,205201,1
20180807,MONTH CAKE SLC,3,11.32,FARHANA,115544,1000,204616,204624,1
20180808,MONTH CAKE 1KG,68,28.3,ZIN,115556,1000,120440,120553,0
20180808,CHAR KWAY TEOW,85,16.98,ZIN,115558,1001,123548,124954,1
20180808,HEALTHY SET A,85,27.83,ZIN,115561,1001,132540,134946,1
20180808,CAPPUCINO,67,10.37,ZIN,115568,1000,151343,151408,1
20180808,SATAY,67,17.45,ZIN,115568,1000,151343,151408,1
20180808,MONTH CAKE 1KG,33,18.87,FARHANA,115569,1000,154408,154557,1
20180808,CHAR KWAY TEOW,85,16.98,FARHANA,115574,1001,173330,175413,1
20180808,MONTH CAKE SLC,3,5.66,FARHANA,115577,1000,192351,192402,1
20180808,MONTH CAKE SLC,3,22.64,FARHANA,115579,1000,194126,194235,1
20180808,MONTH CAKE SLC,3,11.32,FARHANA,115580,1000,194404,194415,2
20180808,TEH TARIK,35,3.77,FARHANA,115588,1000,204253,213657,1
20180808,CHIC CHOP RICE,35,6.42,FARHANA,115588,1000,204253,213657,1
20180808,N NUMB TONGUE,15,3.77,FARHANA,115590,1000,212607,222003,1
20180808,FRESH ORANGE,15,1.98,FARHANA,115590,1000,212607,222003,1
20180808,MONTH CAKE SLC,3,11.32,FARHANA,115591,1000,213722,213741,1
20180809,BUFF.BREAKFAST(A),15,5.47,SI,115600,1000,70909,70924,1
20180809,BUFF.BREAKFAST(A),15,5.47,SI,115604,1000,82334,82516,1
20180809,TOAST&BAKERY,85,8.49,SI,115609,1000,102744,102831,1
20180809,TV SET 3,85,27.83,SI,115611,1001,114655,121309,1
20180809,CAPPUCINO,85,10.37,SI,115623,1000,141208,141304,1
20180809,CHAR KWAY TEOW,85,16.98,FARHANA,115631,1001,180936,183612,1
20180809,TIGER GLASS,22,13.21,FARHANA,115638,1002,193718,193754,1
20180809,MONTH CAKE SLC,3,5.66,FARHANA,115648,1000,221233,221245,1
20180810,BUFF.BREAKFAST(A),15,5.47,SI,115657,1000,84812,85719,1
20180810,BUFF.BREAKFAST(A),15,5.47,SI,115659,1000,93730,94623,1
20180810,BUFF.BREAKFAST(A),85,27.36,SI,115662,1000,100338,100520,1
20180810,BUFF.BREAKFAST(A),85,27.36,SI,115663,1000,100403,100500,1
20180810,N NUMB TONGUE,85,19.81,SI,115664,1001,111529,115226,1
20180810,MEE MAMAK,85,16.98,SI,115664,1001,111529,115226,1
20180810,MONTH CAKE 1KG,68,28.3,SI,115670,1000,142451,142622,1
20180810,MONTH CAKE SLC,68,10.19,FARHANA,115675,1000,202555,202645,1
20180810,SALMON MEDALLIONS,85,27.83,FARHANA,115677,1001,202802,212701,1
20180810,OCEON BREEZE,67,19.0,FARHANA,115678,1000,203613,215833,1
20180810,MONTH CAKE SLC,3,5.66,FARHANA,115682,1000,214251,214358,1
20180810,MONTH CAKE SLC,3,11.32,FARHANA,115683,1000,214924,214930,1
20180810,CHIC CHOP RICE,4,3.21,FARHANA,115685,1000,225209,232201,1
20180811,MONTH CAKE 1KG,4,9.43,SI,115689,1000,74701,74710,1
20180811,CAESER SALAD,4,2.83,SI,115690,1000,74908,74918,1
20180811,FETT.CARBONARA,4,3.58,SI,115691,1000,75122,75139,1
20180811,BUFF.BREAKFAST(A),15,5.47,SI,115693,1000,92751,93531,1
20180811,BUFF.BREAKFAST(A),15,10.94,SI,115694,1000,101238,101729,2
20180811,CLASSIC TIRAMISU,85,10.37,FARHANA,115717,1001,200326,204543,1
20180811,QUESADILLA,85,16.98,FARHANA,115717,1001,200326,204543,1
20180812,MONTH CAKE 1KG,4,9.43,SI,115720,1000,72131,72140,1
20180812,BUFF.BREAKFAST(A),15,5.47,SI,115721,1000,90413,90442,1
20180812,PUMPKIN SOUP,85,12.73,FARHANA,115743,1001,173041,180615,1
20180812,BROWNIES,85,10.85,FARHANA,115743,1001,173041,180615,1
20180812,TV SET 4,85,27.83,FARHANA,115745,1001,183151,185532,1
20180812,FISH & CHIPS,15,4.53,RAMAKUMAR,115748,1000,200250,212312,1
20180812,FISH & CHIPS,15,4.53,FARHANA,115749,1000,200522,212727,1
20180812,MONTH CAKE SLC,3,16.98,FARHANA,115752,1000,211145,211206,1
20180812,MONTH CAKE 1KG,43,9.43,FARHANA,115754,1000,222755,222831,1
20180813,BUFF.BREAKFAST(A),15,5.47,SI,115757,1000,80155,80336,1
20180813,BUFF.BREAKFAST(A),15,10.94,SI,115760,1000,93742,93917,1
20180813,OPEN FD-LUNCH BUFF,33,254.8,SI,115768,1000,134347,134358,13
20180813,OPEN FD-BUFFETLUNCH,41,29.4,SI,115770,1000,135819,140041,2
20180813,BBQ CHIC SALAD,85,14.15,FARHANA,115781,1001,160125,163327,1
20180813,MEE MAMAK,85,16.98,FARHANA,115781,1001,160125,163327,1
20180813,MONTH CAKE 1KG,68,56.6,FARHANA,115785,1000,200446,201955,1
20180813,CHAR KWAY TEOW,67,16.04,FARHANA,115789,1000,205629,220033,1
20180814,CAESER SALAD,4,2.83,SHANIZAM,115803,1000,80207,80234,1
20180814,F.BREWED COFFEE,35,3.96,ZIN,115811,1002,125825,153213,1
20180814,CAFE LATTE,35,4.15,ZIN,115811,1002,125825,153213,1
20180814,LAKSA JOHOR,85,16.98,FARHANA,115813,1001,161339,163553,1
20180814,CAESER SALAD,85,15.09,FARHANA,115813,1001,161339,163553,1
20180814,CAFE LATTE,85,10.37,FARHANA,115814,1001,183122,191019,1
20180814,MONTH CAKE SLC,3,22.64,FARHANA,115816,1000,190158,190213,1
20180815,NESCAFE TARIK,35,7.55,SITI,115832,1000,100309,142039,2
20180815,CAMOMILE TEA,35,3.4,SITI,115832,1000,100309,142039,2
20180815,OMELETTE,35,6.23,SITI,115832,1000,100309,142039,2
20180815,MUSHROOM SALAD,35,5.28,SITI,115835,1000,124435,142047,5
20180815,NYONYA CURRY,35,6.42,SITI,115835,1000,124435,142047,5
20180815,CURRY GROUPER,35,11.32,SITI,115835,1000,124435,142047,5
20180815,MUSHROOM SOUP,35,4.91,SITI,115835,1000,124435,142047,5
20180815,LAKSA JOHOR,35,6.42,SITI,115835,1000,124435,142047,5
20180815,OPEN FD-SIEMENS,33,360.0,SITI,115837,1000,130744,131127,12
20180815,OPEN PTY-CAKE,68,36.0,FARHANA,115845,1000,150031,221001,1
20180815,MONTH CAKE 1KG,68,14.15,SITI,115846,1000,150601,150723,1
20180815,MONTH CAKE 1KG,33,18.87,FARHANA,115847,1000,155349,155446,0
20180815,TV SET 1,85,27.83,FARHANA,115851,1001,180544,185508,1
20180815,WHOLEMEAL,3,6.6,FARHANA,115855,1000,190903,190911,1
20180815,WHOLEMEAL,3,6.6,FARHANA,115855,1000,190903,190911,1
20180815,MONTH CAKE SLC,3,5.66,FARHANA,115859,1000,200521,200536,1
20180815,POTATO CHIPS,15,1.7,FARHANA,115865,1000,210735,215704,1
20180815,PUMPKIN SOUP,15,2.36,FARHANA,115865,1000,210735,215704,1
20180815,MONTH CAKE 1KG,43,9.43,FARHANA,115870,1000,214124,214303,1
20180816,YAM DUMPLING,35,17.16,SI,115884,1003,75640,123037,1
20180816,BUFF.BREAKFAST(A),15,5.47,SI,115885,1000,81459,81729,1
20180816,BUFF.BREAKFAST(A),15,5.47,SI,115888,1000,90132,90307,1
20180816,BUFF.BREAKFAST(A),15,5.47,SI,115889,1000,90446,93304,1
20180816,BUFF.BREAKFAST(A),15,5.47,SI,115890,1000,92135,93120,1
20180816,BUFF.BREAKFAST(A),15,5.47,SI,115891,1000,92556,93009,1
20180816,BUFF.LUNCH(A),18,64.71,SI,115894,1000,131456,131634,7
20180816,ICE LEMON TEA,15,1.79,SI,115896,1000,134729,134853,0
20180816,CHAR KWAY TEOW,15,3.21,SI,115896,1000,134729,134853,0
20180816,N NUMB TONGUE,85,19.81,SITI,115907,1001,180721,184741,1
20180816,FETT.CARBONARA,85,18.87,SITI,115907,1001,180721,184741,1
20180816,TV SET 5,85,27.83,SITI,115908,1001,180755,184727,1
20180816,AL CARTOCCIO,4,3.77,SITI,115914,1000,194754,213131,2
20180816,F.BREWED COFFEE,4,1.98,SITI,115914,1000,194754,213131,2
20180816,ICE LEMON TEA,4,1.79,SITI,115914,1000,194754,213131,2
20180816,FRESH APPLE,4,1.98,SITI,115914,1000,194754,213131,2
20180816,CHIC ROULADE,4,4.62,SITI,115914,1000,194754,213131,2
20180816,BLACK FOREST,4,1.79,SITI,115914,1000,194754,213131,2
20180816,FISH & CHIPS,4,4.53,SITI,115914,1000,194754,213131,2
20180816,AL SALMONE,4,3.77,SITI,115914,1000,194754,213131,2
20180816,AL CARTOCCIO,4,3.77,SITI,115914,1000,194754,213131,2
20180816,ICE LEMON TEA,4,1.79,SITI,115914,1000,194754,213131,2
20180816,NYONYA CURRY,4,3.21,SITI,115914,1000,194754,213131,2
20180816,CALAMARI RINGS,4,2.45,SITI,115914,1000,194754,213131,2
20180816,SATAY,4,3.49,SITI,115914,1000,194754,213131,2
20180816,PATTY MELT,4,3.3,SITI,115914,1000,194754,213131,2
20180816,MONTH CAKE SLC,3,11.32,SITI,115917,1000,210619,210815,0
20180816,FRESH WATERMELON,4,1.98,SITI,115919,1000,221832,222835,1
20180816,MONTH CAKE SLC,3,5.66,SITI,115920,1000,224832,224857,0
20180817,CAESER SALAD,4,2.83,SI,115926,1000,74215,74224,1
20180817,CAESER SALAD,4,2.83,SI,115927,1000,74445,74454,1
20180817,BUFF.BREAKFAST(A),15,5.47,SI,115931,1000,84238,84634,1
20180817,BUFF.BREAKFAST(A),15,5.47,SI,115932,1000,84256,84806,1
20180817,BUFF.BREAKFAST(A),15,5.47,SI,115933,1000,95023,95502,1
20180817,F.BREWED COFFEE,35,3.96,SI,115937,1000,123329,132549,2
20180817,HOT MONKEY,35,3.77,SI,115937,1000,123329,132549,2
20180817,NASI LEMAK,35,6.42,SI,115937,1000,123329,132549,2
20180817,MONTH CAKE 1KG,17,9.43,SI,115940,1000,130843,130948,1
20180817,MONTH CAKE 1KG,17,9.43,SI,115940,1000,130843,130948,1
20180817,OPEN FD-LUNCHBUFFET,33,215.6,SI,115941,1000,131646,134624,11
20180817,MEE MAMAK,85,16.98,SI,115944,1001,143358,151018,1
20180817,LIPTON TEA,67,8.49,SITI,115951,1000,171815,171830,3
20180817,SATAY,67,17.45,SITI,115951,1000,171815,171830,3
20180817,NYONYA CURRY,67,16.04,SITI,115951,1000,171815,171830,3
20180817,CHIC CHOP RICE,67,16.04,SITI,115951,1000,171815,171830,3
20180817,LAKSA JOHOR,85,16.98,SITI,115952,1001,175515,181739,1
20180817,TV SET 3,85,27.83,SITI,115953,1001,181151,183511,1
20180817,CHAR KWAY TEOW,85,16.98,SITI,115953,1001,181151,183511,1
20180817,MONTH CAKE SLC,3,11.32,SITI,115956,1000,192417,192445,0
20180817,MONTH CAKE 1KG,43,18.87,SITI,115957,1000,195405,195639,0
20180818,BUFF.BREAKFAST(A),15,5.47,SI,115979,1000,73619,73707,1
20180818,BUFF.BREAKFAST(A),15,5.47,SI,115987,1000,94711,94930,1
20180818,N NUMB TONGUE,85,19.81,SI,115990,1001,120258,122431,1
20180818,N NUMB TONGUE,85,19.81,SI,115991,1001,121550,123413,1
20180818,HOT MILK,85,9.43,SI,115992,1001,124304,130831,1
20180818,NASI LEMAK,85,16.98,SI,115992,1001,124304,130831,1
20180818,N NUMB TONGUE,67,18.87,SI,116007,1000,160957,161305,1
20180818,N NUMB TONGUE,67,37.74,SITI,116010,1000,163120,165631,1
20180818,OPEN FD-HI TEA A,67,150.0,SITI,116014,1000,180327,181026,10
20180818,MONTH CAKE SLC,3,11.32,SITI,116016,1000,184011,184139,0
20180818,MONTH CAKE SLC,3,11.32,SITI,116018,1000,193011,201755,1
20180818,MONTH CAKE SLC,3,5.66,SITI,116019,1000,195537,202749,0
20180818,MONTH CAKE 1KG,43,18.87,SITI,116020,1000,201537,201709,1
20180818,MONTH CAKE SLC,3,11.32,SITI,116022,1000,205824,210006,1
20180818,MONTH CAKE SLC,3,5.66,SITI,116022,1000,205824,210006,1
20180819,BUFF.BREAKFAST(A),15,10.94,SI,116030,1000,85825,90204,2
20180819,BUFF.BREAKFAST(A),15,5.47,SI,116032,1000,93539,93727,1
20180819,BUFF.BREAKFAST(A),15,5.47,SI,116033,1000,93715,101815,1
20180819,BUFF.BREAKFAST(A),15,5.47,SI,116034,1000,101046,101608,2
20180819,BUFF.BREAKFAST(A),15,5.47,SI,116034,1000,101046,101608,2
20180819,MUSHROOM SOUP,85,13.21,SI,116060,1001,152354,154707,1
20180819,N NUMB TONGUE,85,19.81,SI,116060,1001,152354,154707,1
20180819,MONTH CAKE SLC,85,5.66,SITI,116073,1000,174127,174250,1
20180819,SOUR DOUGH,85,6.6,SITI,116073,1000,174127,174250,1
20180819,MONTH CAKE 1KG,3,47.17,SITI,116075,1000,183150,183757,1
20180819,TV SET 4,85,27.83,SITI,116076,1001,184553,191706,1
20180819,TV SET 2,85,27.83,SITI,116077,1001,194437,200530,1
20180819,MONTH CAKE SLC,3,11.32,SITI,116078,1000,195732,195836,0
20180819,ICE LEMON TEA,67,8.96,SITI,116082,1000,202456,211153,2
20180819,LIME JUICE,67,7.54,SITI,116082,1000,202456,211153,2
20180819,N NUMB TONGUE,67,37.74,SITI,116082,1000,202456,211153,2
20180819,CHIC CHOP RICE,67,16.04,SITI,116083,1000,202516,211230,1
20180819,MEE MAMAK,67,16.04,SITI,116083,1000,202516,211230,1
20180819,AL SALMONE,67,18.87,SITI,116083,1000,202516,211230,1
20180819,MONTH CAKE 1KG,43,9.43,SITI,116085,1000,212523,215024,1
20180820,BUFF.BREAKFAST(C),15,2.74,FARHANA,116090,1000,91910,95115,3
20180820,BUFF.BREAKFAST(A),15,10.94,FARHANA,116090,1000,91910,95115,3
20180820,BUFF.BREAKFAST(A),15,10.94,FARHANA,116092,1000,93323,94559,2
20180820,MONTH CAKE SLC,3,11.32,SI,116108,1000,205932,205945,1
20180820,MONTH CAKE SLC,3,11.32,SI,116113,1000,223040,223049,1
20180821,AMERICAN,85,25.0,SITI,116121,1001,84746,91302,1
20180821,BUFF.BREAKFAST(A),15,10.94,SITI,116122,1000,93035,93342,2
20180821,BUFF.BREAKFAST(A),41,24.62,SITI,116124,1000,93427,93752,3
20180821,BUFF.BREAKFAST(A),15,5.47,SITI,116125,1000,94234,95428,1
20180821,OPEN PTY-CHOC PUDING,35,40.0,SI,116131,1000,163652,170523,1
20180821,FRUIT PLATE,85,10.85,SI,116133,1001,183112,185943,1
20180821,CHAR KWAY TEOW,85,16.98,SI,116133,1001,183112,185943,1
20180821,FRENCH BREAD,3,6.6,SI,116134,1000,183245,183322,1
20180821,MONTH CAKE SLC,3,33.96,SI,116134,1000,183245,183322,1
20180821,HEALTHY SET A,85,27.83,SI,116140,1001,210305,213807,1
20180821,NASI LEMAK,85,16.98,SI,116141,1001,210937,213756,1
20180821,MONTH CAKE 1KG,68,28.3,SI,116145,1000,224308,224408,1
20180822,FISH & CHIPS,4,9.06,SITI,116152,1000,74850,74903,1
20180822,BUFF.BREAKFAST(A),15,5.47,SITI,116154,1000,81918,82346,1
20180822,BUFF.BREAKFAST(A),15,5.47,SITI,116156,1000,92103,92347,1
20180822,BUFF.BREAKFAST(A),15,10.94,SITI,116157,1000,95207,95327,2
20180822,TV SET 3,85,27.83,SITI,116162,1001,131817,134130,1
20180822,TEH TARIK,35,3.77,SITI,116167,1000,135908,145105,2
20180822,GARLIC BAGUETE,35,2.83,SITI,116167,1000,135908,145105,2
20180822,NASI LEMAK,35,6.42,SITI,116167,1000,135908,145105,2
20180822,EASTIN CLUB,35,6.98,SITI,116167,1000,135908,145105,2
20180822,MUSHROOM SOUP,35,4.91,SITI,116167,1000,135908,145105,2
20180822,NAPOLITANO,85,16.04,SITI,116170,1001,143220,144648,1
20180822,SATAY,15,3.49,SITI,116171,1000,143711,150016,1
20180822,PERRIER,15,1.79,SITI,116171,1000,143711,150016,1
20180822,NASI LEMAK,85,16.98,THAN (FUKAZA),116174,1001,182033,183737,1
20180822,N NUMB TONGUE,85,19.81,THAN (FUKAZA),116175,1001,183654,190045,1
20180822,BEEF SIRLOIN,15,6.79,THAN (FUKAZA),116177,1000,191332,194530,2
20180822,SEAFOOD RAMEN,41,5.38,THAN (FUKAZA),116178,1000,200239,203105,2
20180822,CHAR KWAY TEOW,41,4.81,THAN (FUKAZA),116178,1000,200239,203105,2
20180822,MONTH CAKE SLC,3,11.32,THAN (FUKAZA),116185,1000,212552,212656,1
20180822,MONTH CAKE 1KG,4,9.43,THAN (FUKAZA),116188,1002,232811,233012,1
20180823,CAESER SALAD,4,2.83,SITI,116191,1000,72207,72218,1
20180823,MONTH CAKE 1KG,18,9.43,SITI,116196,1000,121650,121801,0
20180823,MONTH CAKE 1KG,18,9.43,SITI,116196,1000,121650,121801,0
20180823,MONTH CAKE 1KG,18,9.43,SITI,116196,1000,121650,121801,0
20180823,MONTH CAKE 1KG,68,28.3,SI,116201,1000,153251,153426,1
20180823,MONTH CAKE 1KG,68,28.3,SI,116204,1000,180242,180458,1
20180823,TV SET 4,85,27.83,SI,116205,1001,181724,185320,1
20180823,N NUMB TONGUE,85,19.81,SI,116207,1001,182236,185256,1
20180823,N NUMB TONGUE,85,19.81,SI,116208,1001,182516,185423,1
20180823,MONTH CAKE 1KG,38,18.87,SI,116210,1000,192344,192353,1
20180823,MONTH CAKE SLC,3,22.64,SI,116210,1000,192344,192353,1
20180823,WALNUT&FRUIT,3,6.6,SI,116211,1000,192714,192721,1
20180823,HEALTHY SET A,85,27.83,SI,116212,1001,195749,202536,1
20180823,MONTH CAKE SLC,3,5.66,SI,116215,1000,202520,202810,1
20180823,MONTH CAKE SLC,3,11.32,SI,116215,1000,202520,202810,1
20180823,TEH TARIK,35,3.77,SI,116216,1002,203049,204550,3
20180823,SALMON MEDALLIONS,35,10.75,SI,116216,1002,203049,204550,3
20180823,SATAY,35,6.98,SI,116216,1002,203049,204550,3
20180823,LAKSA JOHOR,35,6.42,SI,116216,1002,203049,204550,3
20180823,FRESH ORANGE,35,3.96,SI,116216,1002,203049,204550,3
20180823,MONTH CAKE SLC,3,22.64,SI,116219,1000,215644,215914,1
20180823,MONTH CAKE SLC,3,5.66,SI,116220,1000,222938,222944,1
20180824,BUFF.BREAKFAST(A),1,65.66,SITI,116230,1000,84216,100747,4
20180824,F.BREWED COFFEE,1,5.94,SITI,116230,1000,84216,100747,4
20180824,CAFE LATTE,1,6.22,SITI,116230,1000,84216,100747,4
20180824,BUFF.BREAKFAST(A),15,5.47,SITI,116231,1000,93051,93303,1
20180824,BUFF.BREAKFAST(C),15,5.47,SITI,116233,1000,95053,95233,2
20180824,OPEN PTY-CHCO CAKE,68,36.0,SITI,116241,1000,140612,140708,1
20180824,SALMON MEDALLIONS,15,5.38,SI,116244,1000,154220,162039,2
20180824,LAKSA JOHOR,15,3.21,SI,116244,1000,154220,162039,2
20180824,LAKSA JOHOR,85,16.98,SI,116253,1001,195913,202628,1
20180824,FRESH APPLE,85,9.9,SI,116253,1001,195913,202628,1
20180824,BBQ CHIC SALAD,85,14.15,SI,116256,1001,204917,212113,1
20180824,POTATO WEDGES,85,9.43,SI,116256,1001,204917,212113,1
20180824,MONTH CAKE 1KG,4,9.43,SI,116263,1000,215027,220722,1
20180825,TEH TARIK,15,1.89,SITI,116268,1000,74412,74539,1
20180825,MEE GORENG MAMAK,15,3.11,SITI,116269,1000,91053,94420,3
20180825,BUFF.BREAKFAST(A),15,10.94,SITI,116269,1000,91053,94420,3
20180825,OPEN FD-BFT-STEAK,35,9.25,SITI,116270,1002,94215,101547,1
20180825,OPEN FD-BFT-STEAK,35,9.25,SITI,116270,1002,94215,101547,1
20180825,NASI LEMAK,35,6.42,SITI,116270,1002,94215,101547,1
20180825,TEH TARIK,15,1.89,SITI,116271,1000,103500,103611,1
20180825,MONTH CAKE 1KG,68,28.3,SITI,116272,1000,113649,113746,0
20180825,BUFF.HI-TEA(A),90,18.11,SITI,116283,1000,144443,144734,1
20180825,GARLIC BAGUETE,15,1.41,SITI,116285,1000,151941,154400,2
20180825,EASTIN CLUB,15,3.49,SITI,116285,1000,151941,154400,2
20180825,TV SET 5,85,27.83,SI,116289,1001,175633,185040,1
20180825,TV SET 3,85,27.83,SI,116294,1001,191507,193420,1
20180825,N NUMB TONGUE,85,19.81,SI,116297,1001,203613,205746,1
20180825,MONTH CAKE 1KG,4,9.43,SI,116299,1000,221536,224307,1
20180825,SATAY,35,6.98,SI,116300,1000,222733,230219,1
20180825,LAKSA JOHOR,35,6.42,SI,116300,1000,222733,230219,1
20180825,TEH TARIK,35,3.77,SI,116300,1000,222733,230219,1
20180826,CAESER SALAD,4,2.83,SITI,116303,1000,72917,72931,1
20180826,BUFF.BREAKFAST(A),41,16.42,SITI,116308,1000,92511,95826,2
20180826,BUFF.BREAKFAST(A),15,5.47,SITI,116309,1000,95514,101802,1
20180826,POTATO WEDGES,85,9.43,FARHANA,116357,1001,192453,195655,1
20180826,LAKSA JOHOR,85,16.98,FARHANA,116360,1001,202250,203911,1
20180827,BUFF.BREAKFAST(A),15,5.47,SITI,116367,1000,84411,84532,1
20180827,FRESH APPLE,15,1.98,SITI,116370,1000,125949,133403,2
20180827,MEE MAMAK,15,3.21,SITI,116370,1000,125949,133403,2
20180827,LAKSA JOHOR,85,16.98,FARHANA,116374,1001,180148,182802,1
20180827,TV SET 3,85,27.83,FARHANA,116375,1001,181315,184251,1
20180827,AL SALMONE,35,7.55,FARHANA,116376,1000,182725,184733,1
20180827,ARUGULA SALAD,35,5.28,FARHANA,116376,1000,182725,184733,1
20180827,EASTIN CLUB,85,18.39,FARHANA,116379,1001,183521,191623,1
20180827,CHAR KWAY TEOW,85,16.98,FARHANA,116380,1001,184127,191738,1
20180827,N NUMB TONGUE,67,18.87,FARHANA,116384,1000,195514,213514,1
20180827,FISH & CHIPS,15,4.53,FARHANA,116387,1000,200214,204640,1
20180827,PUMPKIN SOUP,67,11.79,YAHYA,116389,1000,201900,202132,1
20180827,AL CARTOCCIO,67,18.87,YAHYA,116389,1000,201900,202132,1
20180827,NINIKU CHAHAN,85,7.54,FARHANA,116391,1001,204952,211617,1
20180827,POTATO CHIPS,85,9.43,FARHANA,116391,1001,204952,211617,1
