DATE,FOOD_ITEM,DISC_ID,DISC_AMT,MANAGER,CHECK_NUM,OUTLET,TIME_IN,TIME_OUT,GUEST
20180301,AMERICAN,85,25.0,MOHAMAD RASHID,118270,1001,65226,73143,1
20180301,BUFF.BREAKFAST(A),15,16.41,SI,118274,1000,102707,102813,3
20180301,MEXICANA,85,19.81,SI,118275,1001,111440,114736,1
20180301,PATTY MELT,85,17.45,SI,118275,1001,111440,114736,1
20180301,BUFF.LUNCH(A),85,46.22,SI,118277,1000,122354,122857,0
20180301,HEALTHY SET D,85,27.83,SI,118282,1001,132233,134452,1
20180301,NYONYA CURRY,35,6.42,SI,118283,1000,133848,150840,2
20180301,TEH TARIK,35,3.77,SI,118283,1000,133848,150840,2
20180301,CHIC TEMPURA,35,7.17,SI,118283,1000,133848,150840,2
20180301,CHAR KWAY TEOW,35,6.42,FARHANA,118284,1000,134536,193543,1
20180301,BUFF.LUNCH(A),41,305.09,SI,118285,1000,135308,135350,22
20180301,TV SET 1,85,27.83,SITI,118292,1001,153244,160831,1
20180301,RYE BREAD,3,6.6,SITI,118295,1000,195055,195249,0
20180301,MONTH CAKE SLC,3,11.32,SITI,118296,1000,195556,195616,0
20180301,CAESER SALAD,4,2.83,SITI,118301,1000,214958,222222,1
20180302,BUFF.BREAKFAST(A),15,5.47,AIMAN,118312,1000,63436,65817,1
20180302,CAPPUCINO,15,2.07,SI,118314,1000,73353,73601,1
20180302,DB ESPRESSO,15,2.07,SI,118314,1000,73353,73601,1
20180302,BUFF.BREAKFAST(A),85,27.36,SI,118318,1000,82002,82609,1
20180302,BUFF.BREAKFAST(A),15,5.47,SI,118319,1000,85433,85747,1
20180302,CAPPUCCINO,15,2.17,SI,118320,1000,101553,101657,1
20180302,JELLYFISH YS H,35,20.38,SI,118322,1003,105427,131405,1
20180302,AL GRANCHIO,35,7.55,SI,118323,1000,122053,150550,3
20180302,BBQ CHIC SALAD,35,5.28,SI,118323,1000,122053,150550,3
20180302,MEXICANA,35,7.55,SI,118323,1000,122053,150550,3
20180302,SEAFOOD RAMEN,15,3.58,SITI,118337,1000,144307,153912,10
20180302,CHAR KWAY TEOW,15,3.21,SITI,118337,1000,144307,153912,10
20180302,TEH TARIK,15,1.89,SITI,118337,1000,144307,153912,10
20180302,GREEN TEA,15,1.7,SITI,118337,1000,144307,153912,10
20180303,CAESER SALAD,4,2.83,SI,118371,1000,73003,73027,1
20180303,BUFF.BREAKFAST(C),15,5.47,SI,118373,1000,75042,75136,2
20180303,BUFF.BREAKFAST(A),15,10.94,SI,118374,1000,83936,84521,2
20180303,BUFF.BREAKFAST(A),15,5.47,SI,118376,1000,101933,102036,1
20180303,HOT CHOCOLATE,35,7.55,ZIN,118378,1000,110944,161942,2
20180303,CAFE LATTE,35,4.15,ZIN,118378,1000,110944,161942,2
20180303,CAPPUCINO,35,4.15,ZIN,118378,1000,110944,161942,2
20180303,NASI LEMAK,35,6.42,ZIN,118378,1000,110944,161942,2
20180303,NASI LEMAK,35,6.42,ZIN,118378,1000,110944,161942,2
20180303,CAMOMILE TEA,35,3.4,ZIN,118378,1000,110944,161942,2
20180303,F.BREWED COFFEE,35,3.96,ZIN,118378,1000,110944,161942,2
20180303,F.BREWED COFFEE,35,3.96,ZIN,118378,1000,110944,161942,2
20180303,MUSHROOM SOUP,35,4.91,ZIN,118378,1000,110944,161942,2
20180303,F.BREWED COFFEE,35,3.96,ZIN,118378,1000,110944,161942,2
20180303,GARLIC BAGUETE,35,2.83,ZIN,118378,1000,110944,161942,2
20180303,SPRITZER,35,3.77,ZIN,118378,1000,110944,161942,2
20180303,TV SET 3,85,27.83,SI,118386,1001,144606,152927,1
20180303,HEALTHY SET A,85,27.83,ZIN,118390,1001,153640,161322,1
20180303,FRUIT PLATE,85,10.85,ZIN,118394,1001,182330,191655,1
20180303,TV SET 3,85,27.83,ZIN,118394,1001,182330,191655,1
20180303,MONTH CAKE SLC,3,5.66,ZIN,118399,1000,204609,204617,1
20180303,MONTH CAKE SLC,3,11.32,ZIN,118400,1000,204756,204804,1
20180303,WHOLEMEAL,3,6.6,ZIN,118400,1000,204756,204804,1
20180304,CAESER SALAD,4,2.83,SI,118413,1000,72307,72317,1
20180304,BUFF.BREAKFAST(C),15,5.47,SI,118414,1000,75102,81554,2
20180304,BUFF.BREAKFAST(A),15,21.89,SI,118415,1000,81349,82057,4
20180304,BUFF.BREAKFAST(A),15,27.36,SI,118418,1000,92828,94358,5
20180304,GRILL STEAK,35,9.25,SI,118420,1000,110931,115720,1
20180304,N NUMB TONGUE,85,19.81,ZIN,118422,1001,145850,152806,1
20180304,F.BREWED COFFEE,85,9.9,ZIN,118422,1001,145850,152806,1
20180304,MUSHROOM SOUP,85,13.21,ZIN,118422,1001,145850,152806,1
20180304,CAESER SALAD,85,15.09,ZIN,118422,1001,145850,152806,1
20180304,SALMON MEDALLIONS,67,26.88,ZIN,118423,1000,153533,160307,1
20180304,TV SET 3,85,27.83,ZIN,118424,1001,170540,174651,1
20180305,BUFF.BREAKFAST(A),15,5.47,MOHAMAD RASHID,118431,1000,60241,75330,1
20180305,BUFF.BREAKFAST(A),15,5.47,SHANIZAM,118432,1000,75208,80410,1
20180305,BUFF.BREAKFAST(A),15,5.47,SHANIZAM,118434,1000,100121,103543,1
20180305,2 FRESH EGGS,35,6.23,SHANIZAM,118435,1000,104311,112758,1
20180305,NOODLE SOUP,35,6.23,SHANIZAM,118435,1000,104311,112758,1
20180305,MONTH CAKE SLC,68,3.4,SHANIZAM,118442,1000,140818,140845,1
20180305,MONTH CAKE 1KG,68,28.3,SHANIZAM,118446,1000,145801,145846,1
20180305,N NUMB TONGUE,85,19.81,ZIN,118447,1001,162957,165422,1
20180305,MONTH CAKE SLC,3,5.66,ZIN,118452,1000,190956,191018,1
20180305,HOT MONKEY,15,1.89,ZIN,118460,1002,211923,212014,1
20180306,CHAR KWAY TEOW,85,16.98,FARHANA,118467,1001,114012,120652,1
20180306,MEXICANA,85,18.87,FARHANA,118474,1000,125158,160546,1
20180306,MUSHROOM SOUP,85,12.26,FARHANA,118474,1000,125158,160546,1
20180306,F.BREWED COFFEE,85,9.9,FARHANA,118474,1000,125158,160546,1
20180306,F.BREWED COFFEE,85,9.9,FARHANA,118474,1000,125158,160546,1
20180306,CHAR KWAY TEOW,35,6.42,SI,118475,1000,132213,155325,1
20180306,PUMPKIN SOUP,67,11.79,ZIN,118481,1000,174744,183445,1
20180306,FISH & CHIPS,67,22.64,ZIN,118481,1000,174744,183445,1
20180306,PUMPKIN SOUP,85,12.73,ZIN,118482,1001,181627,183824,1
20180306,FETT.CARBONARA,85,18.87,ZIN,118482,1001,181627,183824,1
20180306,TV SET 3,85,27.83,ZIN,118484,1001,183603,192901,1
20180306,TV SET 3,85,27.83,ZIN,118484,1001,183603,192901,1
20180306,MONTH CAKE SLC,3,22.64,ZIN,118485,1000,191050,191141,1
20180306,MONTH CAKE SLC,3,5.66,ZIN,118493,1000,200943,201521,1
20180306,N NUMB TONGUE,67,18.87,ZIN,118498,1000,210434,215809,1
20180306,FRESH ORANGE,15,1.98,ZIN,118503,1000,214448,221352,1
20180306,MEE MAMAK,15,3.21,ZIN,118503,1000,214448,221352,1
20180306,FETT.CARBONARA,4,3.58,ZIN,118505,1000,222217,225839,1
20180307,FETT.CARBONARA,4,3.58,FARHANA,118510,1000,72247,72259,1
20180307,BUFF.BREAKFAST(A),15,5.47,FARHANA,118514,1000,75149,80422,1
20180307,INCHE KABIN,67,17.92,ZIN,118520,1000,141808,151950,1
20180307,MUSHROOM SOUP,85,13.21,FARHANA,118521,1001,142153,150233,1
20180307,PATTY MELT,85,17.45,FARHANA,118521,1001,142153,150233,1
20180307,MONTH CAKE 1KG,68,14.15,ZIN,118526,1000,164248,164353,1
20180307,CAESER SALAD,85,15.09,ZIN,118531,1001,174702,182805,1
20180307,AL CARTOCCIO,85,19.81,ZIN,118531,1001,174702,182805,1
20180307,MONTH CAKE SLC,3,5.66,ZIN,118534,1000,180541,180625,1
20180307,MONTH CAKE SLC,3,11.32,ZIN,118535,1000,182119,182125,1
20180307,MONTH CAKE SLC,3,11.32,ZIN,118543,1000,201842,201925,1
20180308,BUFF.BREAKFAST(A),15,5.47,FARHANA,118555,1000,74715,81319,1
20180308,BUFF.BREAKFAST(A),85,27.36,FARHANA,118556,1000,84527,85627,1
20180308,BUFF.BREAKFAST(A),85,27.36,FARHANA,118557,1000,84750,92630,1
20180308,BUFF.BREAKFAST(C),15,2.74,FARHANA,118558,1000,85422,85801,3
20180308,BUFF.BREAKFAST(A),15,10.94,FARHANA,118558,1000,85422,85801,3
20180308,MONTH CAKE 1KG,33,18.87,FARHANA,118561,1000,111418,130033,1
20180308,MONTH CAKE 1KG,33,18.87,FARHANA,118561,1000,111418,130033,1
20180308,CHAR KWAY TEOW,35,12.83,FARHANA,118564,1000,123143,134224,3
20180308,CAESER SALAD,35,5.66,FARHANA,118564,1000,123143,134224,3
20180308,N NUMB TONGUE,85,19.81,FARHANA,118567,1001,135736,142632,1
20180308,CAESER SALAD,4,2.83,ZIN,118569,1000,150834,170223,1
20180308,TV SET 3,85,27.83,ZIN,118571,1001,155633,162953,1
20180308,HEALTHY SET A,85,27.83,ZIN,118572,1001,164509,172745,1
20180308,CAESER SALAD,4,2.83,ZIN,118575,1000,172211,173654,1
20180308,MONTH CAKE SLC,3,39.62,ZIN,118577,1000,175414,175954,1
20180308,HEALTHY SET A,85,27.83,ZIN,118578,1001,180131,184306,1
20180308,MONTH CAKE SLC,3,11.32,ZIN,118580,1000,181101,181136,1
20180308,MONTH CAKE SLC,3,5.66,ZIN,118581,1000,181330,181337,1
20180308,COUNTRY BREAD,3,6.6,ZIN,118590,1000,203008,203030,1
20180308,MONTH CAKE SLC,3,5.66,ZIN,118592,1000,203742,203751,1
20180308,MEE MAMAK,85,16.98,ZIN,118595,1001,204825,210952,1
20180308,TV SET 2,85,27.83,ZIN,118596,1001,205601,214154,1
20180308,CHIC CHOP RICE,41,4.81,ZIN,118597,1000,205708,205811,1
20180308,AL CARTOCCIO,41,5.66,ZIN,118597,1000,205708,205811,1
20180308,FISH & CHIPS,15,4.53,ZIN,118600,1000,215818,225911,2
20180309,BUFF.BREAKFAST(A),85,27.36,FARHANA,118616,1000,84657,92343,1
20180309,MONTH CAKE 1KG,18,9.43,FARHANA,118620,1000,120504,122328,1
20180309,NAPOLITANO,85,16.04,FARHANA,118624,1001,132227,135317,1
20180309,MUSHROOM SOUP,85,13.21,FARHANA,118624,1001,132227,135317,1
20180309,N NUMB TONGUE,85,19.81,FARHANA,118625,1001,132450,134134,1
20180309,ENGLISH B/F TEA,85,8.49,SITI,118628,1000,153403,162547,1
20180309,N NUMB TONGUE,85,18.87,SITI,118628,1000,153403,162547,1
20180309,SATAY,85,18.39,SITI,118629,1001,155811,162419,1
20180309,CHAR KWAY TEOW,85,16.98,SITI,118629,1001,155811,162419,1
20180309,N NUMB TONGUE,67,37.73,SITI,118634,1000,173221,180648,2
20180309,TIGER GLASS,22,13.21,SITI,118648,1002,201441,201559,1
20180309,MEE MAMAK,15,3.21,SITI,118649,1000,203758,212350,2
20180309,SEAFOOD RAMEN,15,3.58,SITI,118649,1000,203758,212350,2
20180309,TV SET 3,85,27.83,SITI,118651,1001,204153,212104,1
20180309,POTATO CHIPS,85,9.43,SITI,118653,1001,205629,212040,1
20180309,NASI LEMAK,85,16.98,SITI,118653,1001,205629,212040,1
20180309,ARUGULA SALAD,85,14.15,SITI,118655,1001,211214,213938,1
20180309,MONTH CAKE SLC,3,22.64,SITI,118657,1000,213540,213614,0
20180309,NASI LEMAK,85,16.98,SITI,118663,1001,222426,225358,1
20180309,POTATO WEDGES,85,9.43,SITI,118663,1001,222426,225358,1
20180309,MEE MAMAK,85,16.98,SITI,118663,1001,222426,225358,1
20180309,CHAR KWAY TEOW,85,16.98,SITI,118663,1001,222426,225358,1
20180310,CAESER SALAD,4,2.83,ZIN,118677,1000,74444,74504,1
20180310,MONTH CAKE SLC,15,1.13,ZIN,118684,1000,131504,131609,1
20180310,N NUMB TONGUE,85,19.81,SITI,118693,1001,180121,190208,1
20180310,FRESH WATERMELON,85,9.9,SITI,118693,1001,180121,190208,1
20180310,MONTH CAKE SLC,3,16.98,SITI,118699,1000,184058,184156,1
20180310,BUTTER FISH,35,9.25,SITI,118700,1000,184744,192642,2
20180310,SALMON MEDALLIONS,35,10.75,SITI,118700,1000,184744,192642,2
20180310,MONTH CAKE SLC,3,11.32,SITI,118704,1000,200329,200342,0
20180310,CAESER SALAD,4,2.83,SITI,118710,1000,211715,213223,1
20180311,BUFF.BREAKFAST(A),15,10.94,ZIN,118720,1000,72438,74215,2
20180311,BUFF.BREAKFAST(A),15,10.94,ZIN,118721,1000,74412,91238,2
20180311,BUFF.BREAKFAST(A),15,27.36,ZIN,118721,1000,74412,91238,2
20180311,BUFF.BREAKFAST(A),15,5.47,ZIN,118722,1000,81853,82030,1
20180311,BUFF.BREAKFAST(A),15,5.47,ZIN,118723,1000,82044,84157,1
20180311,BUFF.BREAKFAST(A),90,16.41,ZIN,118724,1000,83205,83322,2
20180311,BUFF.BREAKFAST(A),15,5.47,ZIN,118725,1000,83918,84318,1
20180311,BUFF.BREAKFAST(A),15,5.47,ZIN,118726,1000,90351,92550,1
20180311,BUFF.BREAKFAST(A),15,10.94,ZIN,118727,1000,91931,92049,2
20180311,BUFF.BREAKFAST(A),15,10.94,ZIN,118728,1000,92447,92728,2
20180311,F.BREWED COFFEE,15,3.96,ZIN,118732,1000,113116,113239,2
20180311,BUFF.HI-TEA(A),35,33.21,ZIN,118739,1000,134154,135623,6
20180311,BUFF.HI-TEA(A),35,66.42,ZIN,118739,1000,134154,135623,6
20180311,APPLE PIE,85,10.37,ZIN,118740,1001,134256,141105,1
20180311,BUFF.HI-TEA(A),41,74.72,ZIN,118743,1000,151501,151606,6
20180311,BUFF.HI-TEA(A),41,136.98,ZIN,118744,1000,151701,151802,11
20180311,BUFF.HI-TEA(A),15,8.3,ZIN,118746,1000,160052,160212,1
20180311,BUFF.HI-TEA(A),67,83.02,ZIN,118747,1000,160133,160354,2
20180311,FRUIT PLATE,85,10.85,SITI,118754,1001,175522,182827,1
20180311,CHAR KWAY TEOW,85,16.98,SITI,118754,1001,175522,182827,1
20180311,TV SET 4,85,27.83,SITI,118761,1001,203222,211350,1
20180311,N NUMB TONGUE,15,3.77,SITI,118763,1000,204323,213217,1
20180311,TEH TARIK,15,1.89,SITI,118763,1000,204323,213217,1
20180311,CALAMARI RINGS,85,13.21,SITI,118764,1001,204603,212014,1
20180311,POTATO WEDGES,85,9.43,SITI,118764,1001,204603,212014,1
20180311,MONTH CAKE SLC,68,3.4,SITI,118772,1000,225740,230110,0
20180312,BUFF.BREAKFAST(A),15,5.47,ZIN,118778,1000,72603,73121,1
20180312,BUFF.BREAKFAST(A),15,5.47,ZIN,118779,1000,92417,92945,1
20180312,AMERICAN,85,25.0,ZIN,118782,1001,103248,105804,1
20180312,LIME JUICE,15,1.51,ZIN,118787,1000,133559,144153,2
20180312,PANINI VERDURE,15,3.21,ZIN,118787,1000,133559,144153,2
20180312,LIME JUICE,15,1.51,ZIN,118787,1000,133559,144153,2
20180312,CAFE LATTE,15,2.07,ZIN,118787,1000,133559,144153,2
20180312,CAESER SALAD,15,2.83,ZIN,118787,1000,133559,144153,2
20180312,HEALTHY SET C,85,27.83,ZIN,118794,1001,145834,153956,1
20180312,N NUMB TONGUE,85,19.81,ZIN,118795,1001,150539,153916,1
20180312,SPRITE,85,6.6,ZIN,118795,1001,150539,153916,1
20180312,POTATO CHIPS,85,9.43,ZIN,118795,1001,150539,153916,1
20180312,N NUMB TONGUE,85,19.81,SITI,118800,1001,180026,182605,1
20180312,MEXICANA,15,3.77,SITI,118801,1000,191303,195126,1
20180312,LAKSA JOHOR,67,16.04,SITI,118804,1000,192956,211202,2
20180312,LAKSA JOHOR,67,16.04,SITI,118804,1000,192956,211202,2
20180312,MONTH CAKE SLC,3,5.66,SITI,118810,1000,202116,202125,0
20180312,N NUMB TONGUE,15,3.77,SITI,118813,1000,203913,211826,1
20180313,FRESH APPLE,4,1.98,AHMAD HUSAINI,118820,1000,70253,70412,1
20180313,FETT.CARBONARA,4,3.58,AHMAD HUSAINI,118821,1000,70615,70716,2
20180313,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,118824,1000,74737,75603,1
20180313,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,118825,1000,75109,92721,1
20180313,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,118826,1000,85116,85348,1
20180313,SATAY,85,18.39,SITI,118831,1001,150757,160703,1
20180313,TV SET 3,85,27.83,SITI,118831,1001,150757,160703,1
20180313,CHAR KWAY TEOW,85,16.98,SITI,118831,1001,150757,160703,1
20180313,F.BREWED COFFEE,85,9.9,SITI,118831,1001,150757,160703,1
20180313,NASI LEMAK,85,16.98,SITI,118831,1001,150757,160703,1
20180313,HEALTHY SET A,85,27.83,SITI,118837,1001,175111,191539,2
20180313,CHAR KWAY TEOW,85,16.98,SITI,118837,1001,175111,191539,2
20180313,MONTH CAKE SLC,3,11.32,SITI,118843,1000,192711,192716,0
20180313,NASI LEMAK,85,16.98,SITI,118849,1001,203404,203643,1
20180314,BUFF.BREAKFAST(A),15,10.94,AHMAD HUSAINI,118856,1000,81305,81710,2
20180314,MONTH CAKE 1KG,17,4.72,AHMAD HUSAINI,118860,1000,135349,135510,1
20180314,BUFF.HI-TEA(A),15,8.3,THAN (FUKAZA),118867,1000,153206,153239,1
20180314,FETT.CARBONARA,67,17.92,THAN (FUKAZA),118870,1000,172057,184439,2
20180314,POTATO CHIPS,67,16.98,THAN (FUKAZA),118870,1000,172057,184439,2
20180314,EASTIN CLUB,67,17.45,THAN (FUKAZA),118870,1000,172057,184439,2
20180314,FETT.CARBONARA,67,17.92,THAN (FUKAZA),118870,1000,172057,184439,2
20180314,MONTH CAKE SLC,68,3.4,THAN (FUKAZA),118872,1000,175517,175623,1
20180314,TV SET 1,85,27.83,THAN (FUKAZA),118873,1001,180611,183122,1
20180314,FISH & CHIPS,15,4.53,THAN (FUKAZA),118874,1000,191624,194303,1
20180314,F.BREWED COFFEE,15,1.98,THAN (FUKAZA),118875,1000,193625,204740,1
20180314,NASI LEMAK,15,3.21,THAN (FUKAZA),118875,1000,193625,204740,1
20180314,MONTH CAKE SLC,3,16.98,THAN (FUKAZA),118876,1000,194015,194043,1
20180314,TV SET 3,85,27.83,THAN (FUKAZA),118882,1001,200727,204238,1
20180314,FRENCH BREAD,3,13.21,THAN (FUKAZA),118884,1000,201011,201019,1
20180314,TV SET 1,85,27.83,THAN (FUKAZA),118886,1001,202643,210936,1
20180314,LIME JUICE,35,9.06,THAN (FUKAZA),118893,1002,104,1248,3
20180315,BUFF.BREAKFAST(A),15,5.47,MOHAMAD RASHID,118899,1000,64644,65444,1
20180315,BUFF.BREAKFAST(A),41,24.62,SITI,118902,1000,85508,92826,3
20180315,BUFF.BREAKFAST(A),15,5.47,SITI,118903,1000,95047,95319,1
20180315,BUFF.BREAKFAST(A),15,21.89,SITI,118904,1000,100738,101003,4
20180315,DB ESPRESSO,15,4.15,SITI,118905,1000,102542,102657,1
20180315,BUFF.LUNCH(A),15,9.24,SITI,118907,1000,133259,145355,1
20180315,CHIC CHOP RICE,67,16.04,THAN (FUKAZA),118914,1000,172655,180131,1
20180315,TV SET 6,85,27.83,THAN (FUKAZA),118916,1001,175841,182954,1
20180315,MONTH CAKE SLC,3,16.98,THAN (FUKAZA),118919,1000,184332,184339,1
20180315,CALAMARI RINGS,85,13.21,THAN (FUKAZA),118927,1001,203951,210941,1
20180315,MONTH CAKE 1KG,68,28.3,THAN (FUKAZA),118928,1000,205327,213319,1
20180316,BUFF.BREAKFAST(A),15,5.47,AHMAD HUSAINI,118946,1000,83108,83543,1
20180316,SATAY,15,3.49,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,SATAY,15,3.49,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,FISH & CHIPS,15,4.53,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,AL CARTOCCIO,15,3.77,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,GREEN TEA,15,1.7,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,CAFE LATTE,15,2.07,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,FRESH ORANGE,15,1.98,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,LAKSA JOHOR,15,6.41,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,SALMON MEDALLIONS,15,5.38,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,HOT CHOCOLATE,15,1.89,AHMAD HUSAINI,118950,1000,94933,143308,4
20180316,BUFF.BREAKFAST(A),15,16.41,AHMAD HUSAINI,118953,1000,102444,103345,3
20180316,MONTH CAKE 1KG,68,28.3,AHMAD HUSAINI,118955,1000,114347,114614,1
20180316,HEALTHY SET A,85,27.83,AHMAD HUSAINI,118956,1001,123212,125504,1
20180316,TV SET 4,85,27.83,SI,118965,1001,160234,162239,1
20180316,NASI LEMAK,85,16.98,SI,118968,1001,170701,181429,1
20180316,HEALTHY SET A,85,27.83,SI,118969,1001,170956,181509,1
20180316,MONTH CAKE SLC,3,16.98,SI,118971,1000,171426,180911,1
20180316,CHAR KWAY TEOW,85,16.98,SI,118973,1001,175430,181635,1
20180316,MONTH CAKE SLC,3,5.66,SI,118974,1000,181750,181757,1
20180316,APPLE PIE,15,1.89,SI,118975,1000,181934,185147,2
20180316,PRAWN COCKTAIL,15,3.58,SI,118975,1000,181934,185147,2
20180316,LIME JUICE,35,3.02,SI,118976,1000,182205,201219,1
20180316,TEH TARIK,35,3.77,SI,118976,1000,182205,201219,1
20180316,LIME JUICE,35,3.02,SI,118976,1000,182205,201219,1
20180316,TV SET 4,85,27.83,SI,118986,1001,211221,215308,1
20180316,MONTH CAKE SLC,3,5.66,SI,118987,1000,212908,212946,1
20180316,NASI LEMAK,35,6.42,SI,118988,1000,215958,225600,2
20180316,CHOC BANANA MS,35,3.58,SI,118988,1000,215958,225600,2
20180316,FRESH ORANGE,35,3.96,SI,118988,1000,215958,225600,2
20180317,CAFE LATTE,15,2.07,AHMAD HUSAINI,118996,1000,75210,75513,1
20180317,CAPPUCINO,15,2.07,AHMAD HUSAINI,118997,1000,82943,83254,1
20180317,GRILL STEAK,35,9.25,RAMAKUMAR,119000,1000,102938,112937,1
20180317,FRESH APPLE,33,7.92,AHMAD HUSAINI,119010,1000,142707,150325,5
20180317,FRESH ORANGE,33,3.96,AHMAD HUSAINI,119010,1000,142707,150325,5
20180317,FRESH WATERMELON,33,3.96,AHMAD HUSAINI,119010,1000,142707,150325,5
20180317,OPEN PTY-HALF CAKE,33,9.43,AHMAD HUSAINI,119010,1000,142707,150325,5
20180317,OPEN FD-HI TEA,33,72.45,AHMAD HUSAINI,119010,1000,142707,150325,5
20180317,OPEN FD-HI TEA,33,24.15,AHMAD HUSAINI,119010,1000,142707,150325,5
20180317,EASTIN CLUB,67,17.45,AHMAD HUSAINI,119014,1000,152749,160226,1
20180317,OPEN FD-HI TAE,67,60.37,AHMAD HUSAINI,119015,1000,154022,154342,1
20180317,WALNUT&FRUIT,3,6.6,RAMAKUMAR,119016,1000,154222,183023,2
20180317,MONTH CAKE SLC,3,5.66,AHMAD HUSAINI,119016,1000,154222,183023,2
20180317,BBQ CHIC SALAD,85,14.15,SI,119029,1001,195409,204210,1
20180317,N NUMB TONGUE,85,19.81,SI,119029,1001,195409,204210,1
20180318,DB ESPRESSO,15,2.07,SITI,119041,1000,73550,74636,1
20180318,BUFF.BREAKFAST(C),15,2.74,SITI,119042,1000,80355,82426,3
20180318,BUFF.BREAKFAST(A),15,10.94,SITI,119042,1000,80355,82426,3
20180318,BUFF.BREAKFAST(A),15,10.94,SITI,119044,1000,92711,93131,2
20180318,MEE GORENG MAMAK,85,15.56,SITI,119045,1000,102559,110056,1
20180318,F.BREWED COFFEE,85,9.9,SITI,119045,1000,102559,110056,1
20180318,FRUIT PLATE,85,9.9,SITI,119045,1000,102559,110056,1
20180318,F.BREWED COFFEE,85,9.9,SITI,119049,1001,130017,133218,1
20180318,TV SET 1,85,27.83,SITI,119049,1001,130017,133218,1
20180318,OPEN FD-HI TEA,98,72.45,SITI,119051,1000,131834,132001,12
20180318,OPEN FD-HI TEA,98,18.11,SITI,119051,1000,131834,132001,12
20180318,OPEN FD-HI TEA,1,253.58,SITI,119055,1000,135132,140920,7
20180318,N NUMB TONGUE,85,19.81,SITI,119056,1001,140736,142424,1
20180318,OPEN FD-HI TEA,41,54.34,SITI,119057,1000,142610,142703,3
20180318,OPEN FD-HI TEA,97,9.06,SITI,119060,1000,143259,143330,2
20180318,CHAR KWAY TEOW,85,16.98,SI,119069,1001,181638,184011,1
20180318,TV SET 4,85,27.83,SI,119069,1001,181638,184011,1
20180318,MONTH CAKE SLC,3,16.98,SI,119070,1000,181918,181933,1
20180318,TUNA PITA,85,13.68,SI,119071,1001,183046,185413,1
20180318,SATAY,15,3.49,SI,119072,1000,183436,193112,4
20180318,BUTTER FISH,15,4.62,SI,119072,1000,183436,193112,4
20180318,SATAY,15,3.49,SI,119072,1000,183436,193112,4
20180318,MUSHROOM SOUP,15,2.45,SI,119072,1000,183436,193112,4
20180318,MUSHROOM SOUP,15,2.45,SI,119072,1000,183436,193112,4
20180318,QUESADILLA,15,3.21,SI,119072,1000,183436,193112,4
20180318,PUMPKIN SOUP,15,2.36,SI,119072,1000,183436,193112,4
20180318,AL CARTOCCIO,15,3.77,SI,119072,1000,183436,193112,4
20180318,AL CARTOCCIO,15,3.77,SI,119072,1000,183436,193112,4
20180318,N NUMB TONGUE,85,19.81,SI,119074,1001,200735,202455,1
20180318,MONTH CAKE 1KG,68,14.15,SI,119078,1000,205150,205228,1
20180318,PATTY MELT,15,3.3,SI,119081,1000,215010,215218,0
20180318,N NUMB TONGUE,66,18.87,SI,119084,1000,225504,231116,1
20180318,FRESH ORANGE,66,9.9,SI,119084,1000,225504,231116,1
20180319,BUFF.BREAKFAST(A),15,5.47,SITI,119089,1000,81858,82031,1
20180319,BUFF.BREAKFAST(A),15,5.47,SITI,119090,1000,82119,100213,1
20180319,BUFF.BREAKFAST(A),85,27.36,SITI,119091,1000,84614,85620,1
20180319,BUFF.BREAKFAST(A),15,5.47,SITI,119092,1000,85122,90038,1
20180319,DB ESPRESSO,15,2.07,SITI,119093,1000,85609,85746,1
20180319,POTATO WEDGES,85,9.43,SITI,119096,1001,122837,125358,1
20180319,COKE,85,13.21,SITI,119096,1001,122837,125358,1
20180319,CHAR KWAY TEOW,85,16.98,SITI,119096,1001,122837,125358,1
20180319,MONTH CAKE SLC,68,3.4,SITI,119101,1000,143617,144032,1
20180319,OPEN PTY-MUFFIN,68,2.26,SITI,119101,1000,143617,144032,1
20180319,BUFF.LUNCH(A),67,46.22,LEE KEAN TEE,119101,1000,143617,144032,1
20180319,CAFE LATTE,15,2.07,SITI,119104,1000,145303,145348,1
20180319,N NUMB TONGUE,15,3.77,AHMAD HUSAINI,119111,1000,191247,194719,1
20180319,FRESH WATERMELON,15,1.98,AHMAD HUSAINI,119111,1000,191247,194719,1
20180319,N NUMB TONGUE,85,19.81,AHMAD HUSAINI,119120,1001,210032,213216,1
20180320,F.BREWED COFFEE,90,2.97,SHANIZAM,119138,1000,92815,103032,1
20180320,NASI LEMAK,90,4.81,SHANIZAM,119138,1000,92815,103032,1
20180320,NASI LEMAK,90,5.66,SHANIZAM,119138,1000,92815,103032,1
20180320,F.BREWED COFFEE,90,2.97,SHANIZAM,119138,1000,92815,103032,1
